date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:02:43	237/237	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2016%20Jan%202023%2010:32:43%20GMT	http://websmirno.site/voicer	C:/UpdatedWebsite/MixMe/MixMe2/websmirno.site/voicer.0.delayed	(from )
16:02:43	462/462	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2024%20Aug%202022%2018:54:58%20GMT	http://websmirno.site/robots.txt		(from )
16:02:45	116852/116852	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Apr%202020%2009:22:35%20GMT	http://websmirno.site/voicer/	C:/UpdatedWebsite/MixMe/MixMe2/websmirno.site/voicer/index.html	(from )
16:02:45	1403/1403	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Sep%202019%2010:57:57%20GMT	http://websmirno.site/voicer/favicon.png	C:/UpdatedWebsite/MixMe/MixMe2/websmirno.site/voicer/favicon.png	(from http://websmirno.site/voicer/)
16:02:45	55111/55111	---MCZ	200	added ('OK')	text/css	etag:W/%22e4c542a7f6bf6f74fdd8cdf6e8096396%22	https://use.fontawesome.com/releases/v5.8.1/css/all.css	C:/UpdatedWebsite/MixMe/MixMe2/use.fontawesome.com/releases/v5.8.1/css/all.css	(from http://websmirno.site/voicer/)
16:02:46	12795/12795	---M--	200	added ('OK')	text/css	date:Mon,%2002%20Sep%202019%2010:48:19%20GMT	http://websmirno.site/voicer/vendor/fancybox/dist/jquery.fancybox.min.css	C:/UpdatedWebsite/MixMe/MixMe2/websmirno.site/voicer/vendor/fancybox/dist/jquery.fancybox.min.css	(from http://websmirno.site/voicer/)
16:02:54	977944/977944	---M--	200	added ('OK')	text/css	date:Mon,%2002%20Sep%202019%2010:58:10%20GMT	http://websmirno.site/voicer/css/index.css	C:/UpdatedWebsite/MixMe/MixMe2/websmirno.site/voicer/css/index.css	(from http://websmirno.site/voicer/)
16:02:57	79997/79997	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Sep%202019%2011:41:12%20GMT	http://websmirno.site/voicer/about.html	C:/UpdatedWebsite/MixMe/MixMe2/websmirno.site/voicer/about.html	(from http://websmirno.site/voicer/)
16:02:58	45875/45875	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Sep%202019%2011:41:09%20GMT	http://websmirno.site/voicer/equipment.html	C:/UpdatedWebsite/MixMe/MixMe2/websmirno.site/voicer/equipment.html	(from http://websmirno.site/voicer/)
16:02:58	116852/116852	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Apr%202020%2009:22:35%20GMT	http://websmirno.site/voicer/index.html	C:/UpdatedWebsite/MixMe/MixMe2/websmirno.site/voicer/index-2.html	(from http://websmirno.site/voicer/)
16:03:03	95613/95613	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Sep%202019%2011:41:06%20GMT	http://websmirno.site/voicer/services.html	C:/UpdatedWebsite/MixMe/MixMe2/websmirno.site/voicer/services.html	(from http://websmirno.site/voicer/)
16:03:04	79569/79569	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Sep%202019%2011:41:07%20GMT	http://websmirno.site/voicer/rates.html	C:/UpdatedWebsite/MixMe/MixMe2/websmirno.site/voicer/rates.html	(from http://websmirno.site/voicer/)
16:03:05	86458/86458	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Sep%202019%2011:41:05%20GMT	http://websmirno.site/voicer/testimonials.html	C:/UpdatedWebsite/MixMe/MixMe2/websmirno.site/voicer/testimonials.html	(from http://websmirno.site/voicer/)
16:03:09	78710/78710	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Sep%202019%2011:41:11%20GMT	http://websmirno.site/voicer/blog-post.html	C:/UpdatedWebsite/MixMe/MixMe2/websmirno.site/voicer/blog-post.html	(from http://websmirno.site/voicer/)
